CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2017;Teruel;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;11;0;0;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Infantil;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Infantil;Grado;Graduado;Hombres;3;0;0;0;4.50;88.56;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Infantil;Grado;Graduado;Mujeres;65;0;0;0;4.52;90.71;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Infantil;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Infantil;Grado;Traslado a otra Universidad;Mujeres;0;0;0;4;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;15;3;0;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;9;4;0;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Hombres;0;3;2;0;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Graduado;Hombres;19;0;0;0;5.16;86.33;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Graduado;Mujeres;39;0;0;0;4.44;89.91;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Incumple Régimen de permanencia;Hombres;0;2;2;0;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Primaria;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Abandono Voluntario;Hombres;0;3;0;0;;;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Abandono Voluntario;Mujeres;0;2;1;0;;;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;1;0;;;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;05/01/2020
